timestamp,temp,pressure,humidity,wind_speed,weather_code
1752987600,18.5,1004,93,1.82,804
1752991200,19.06,1004,93,1.98,502
1752994800,18.47,1004,94,2.49,804
1752998400,19.08,1004,88,2.61,804
1753002000,20.17,1004,91,3.33,804
1753005600,22.39,1004,81,3.65,804
1753009200,22.11,1004,67,3.88,804
1753012800,22.95,1004,79,3.6,804
1753016400,23.5,1004,73,4.13,803
1753020000,24.61,1004,65,3.6,803
1753023600,25.17,1004,62,3.01,803
1753027200,25.17,1004,61,1.97,803
1753030800,25.17,1004,62,1.64,802
1753034400,22.17,1005,69,2.03,802
1753038000,20.57,1005,77,1.34,800
1753041600,19.84,1006,76,0.65,800
1753045200,19.06,1006,83,1.71,800
1753048800,19.06,1006,84,2.09,800
1753052400,17.95,1006,85,2.3,800
1753056000,16.84,1006,87,2.09,801
1753059600,16.28,1006,88,2.06,800
1753063200,15.73,1007,89,2.15,800
1753066800,15.73,1007,90,2.08,800
1753070400,15.17,1007,91,2.01,800
1753074000,17.39,1007,93,2.09,800
1753077600,19.61,1006,90,2.19,800
1753081200,22.39,1007,77,2.31,800
1753084800,23.5,1006,73,2.37,800
1753088400,25.17,1006,66,2.43,800
1753092000,26.28,1006,63,2.69,801
1753095600,26.84,1006,61,3.06,801
